Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
2017/12/22,10:49:41,25.012,24.9625,24.527500000000003,25.345,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:50:12,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,1.0150000000000001,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:50:42,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:51:13,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:51:44,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:52:14,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:52:45,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,1.397,0.20999999999999996,0.5845,0.2175,391.25,0.5784615384639995,1,0,1
2017/12/22,10:53:15,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:53:46,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,42.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,10:54:17,25.012,24.9625,24.527500000000003,25.507,107.25,38.7,70.0,40.7,3.689,0.5499999999999999,0.5845,0.5525,391.25,-0.9492307692280004,1,1,1
2017/12/22,10:54:47,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,70.0,40.7,2.161,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,1,1
2017/12/22,10:55:18,25.012,24.9625,24.527500000000003,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:55:49,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:56:19,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,1.7790000000000001,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:56:50,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.633,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:57:21,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:57:51,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,0,0,1
2017/12/22,10:58:22,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:58:52,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,1,0,1
2017/12/22,10:59:23,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,48.10000000000001,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,0,0,1
2017/12/22,10:59:54,25.156,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,-0.9492307692280004,0,0,1
2017/12/22,11:00:24,25.012,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,11:00:55,25.156,24.9625,24.7025,25.507,123.75,38.7,70.0,48.10000000000001,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,11:01:26,25.156,24.9625,24.7025,25.507,123.75,38.7,70.0,48.10000000000001,1.397,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,11:01:56,25.156,24.9625,24.7025,25.507,123.75,38.7,70.0,48.10000000000001,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,0,0,1
2017/12/22,11:02:27,25.156,24.9625,24.7025,25.507,123.75,38.7,70.0,48.10000000000001,1.397,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,1,0,1
2017/12/22,11:02:58,25.156,24.9625,24.7025,25.507,123.75,38.7,70.0,40.7,0.251,0.20999999999999996,0.22149999999999997,0.2175,391.25,0.5784615384639995,1,0,1
